fil_1: greenwich council; certified platinum; scheduled castes; outdoor clay courts; loved ones; 
fil_2284: tulane green wave; mollusk in the family raphitomidae; army of northern virginia; gastropod mollusk in the family turridae; confederate states army; 
fil_2288: permitted to wear; unfair advantage; eton college; seven grandchildren; end of the 18th century; 
fil_2289: nadi reported that vania; joy of giving week; giving week; category 2 tropical cyclone; next few days; 
fil_229: extraterrestrial intelligence; spine rounding; rounded spine; received the next clue; provide a rounded spine; 
fil_2290: allegheny mountains; liberian mercenaries; buenos aires have some degree; very small sea snail; species of very small sea snail; 
fil_2292: lance cpl; shot in the head; duct tape; successful military leadership; battlefield bravery or successful military leadership; 
fil_2293: northern spain; autonomous community; roads act 1993; regional capital olsztyn; east of the regional capital olsztyn; 
fil_2294: fleeting moment; novels and short stories; conservatory theatre in san francisco; round pens; central and northern india; 
fil_2295: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2296: weber stake; charlie brown's; vacuum cleaners; actors and musicians; 21 september 2009; 
fil_23: received an offer; rover 400; cpt symmetry; oliver hazard perry; main objective; 
fil_230: refer to the following places; vãµru county in southeastern estonia; southeastern estonia; protein that in humans is encoded; protein that in humans; 
fil_2301: acquired citizenship; anna karoline; legislative assembly of tamil nadu; voltage standing across; theoretical maximum efficiency; 
fil_2303: masterâ€™s programs; differential speed limits; inherited from his father; 1993 major league baseball draft; 2008 rugby league world cup; 
fil_2306: west suffield mountain; connecticut river valley; biological processes; southwest corner; systematic name of this enzyme; 
fil_2309: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_231: josã© roberto manesco; floriano de azevedo marques neto; floriano de azevedo; azevedo marques neto; founded in 1991; 
fil_2313: bret hart; jacques lemaire; consul suffectus; publius septimius aper; walks of life; 
fil_2314: heber springs; celebrate the centenary; wallis and futuna; historic site of canada; barack obama; 
fil_2315: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2316: creative advisor; drug clinic; creative director; kansas city royals; brother's death; 
fil_2318: technical communicators; produced the newsletter; cryptographic devices; student participation; social gatherings; 
fil_2319: disliked by bruno; comba dã£o; cab driver; taken very seriously; auschwitz concentration; 
fil_232: seek forgiveness; red blood cells; flanagan admitted; char joog; chanto is performed; 
fil_2320: transfer money; arrival of european settlers; war in 1914; outbreak of war in 1914; outbreak of war; 
fil_2321: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2323: statistical conclusions; wood engraving; average annual rainfall; average amount; positively identified; 
fil_2325: coral rag; roof terrace; rodmanâ€™s neck; harp of columbia; expand upon impact; 
fil_2327: northwood college; global war on terrorism; operation iraqi freedom; operation enduring freedom; 2nd earl; 
fil_2328: communities and society; narragansett steamship; abnormal psychology; museums and galleries; maiden voyage; 
fil_233: fred palahniuk; 1966 until his death; fredrik lã¶ã¶f; traveled to germany; currently used mostly for football matches; 
fil_2330: hubei province; prague sympnony; performed by the bbc orchestra; overture for orchestra; canadian corvettes; 
fil_2331: couple had no children; calgary's city limits; dark fire; black cherry; seen in a google map; 
fil_2333: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2334: sielun veljet; bad girls; refer to the following places; clinical psychology; vãµru county in southeastern estonia; 
fil_2335: contracted the disease; supplementary volume; ecclesiastical affairs; van cliburn; run for reelection; 
fil_2337: day of the representative battle; representative battle; lake shaitankol; oxidative stress; protein that in humans is encoded; 
fil_2338: muslims of america; women's swimming; feasibility study; swimming and diving; chong fung yuen; 
fil_2339: central and south america; king's inn; habitats are subtropical; species of plant; 3rd son; 
fil_234: ecclesiastical seminary; gse preparations; grapefruit seeds; antimicrobial effect; muscular dystrophy; 
fil_2340: grapico bottling; åšroda åšlä…ska; merril jessop; instructor of accordion; dollar bill; 
fil_2344: crimes attributed; premiered on hbo canada in september; premiered on hbo canada; association for the advancement; advancement of science; 
fil_2345: åšroda åšlä…ska; merril jessop; instructor of accordion; seat is the village; born july 4; 
fil_2347: band's early singles; ford mustang; friend of the band; nuestra seã±ora; writing average score; 
fil_2349: forced to punt; leader of the army; publicâ€“private partnership; mountain goats; thomas m; 
fil_235: st idloes; oro township; courier typeface; centraal station; crimes against humanity; 
fil_2350: sielun veljet; bad girls; refer to the following places; clinical psychology; vãµru county in southeastern estonia; 
fil_2351: unfinished business; ycbcr color cube; various ways; walk down the aisle; able to talk; 
fil_2353: gao guanwu; behavioral analysts; anhui province; released from his contract; pattern recognition; 
fil_2354: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2355: federal communications commission; fourth baron; dashed stripes; deputy lieutenant; provisional name; 
fil_2357: nagoya grampus; magna carta; dakota state senate; kramer junction; mojave desert; 
fil_2358: joan hooley; arthur c; adventure module; movement for rights; immunities clause; 
fil_236: present at the battle; unsuccessful candidate; chicago bears; sparsely populated; promotional single from the album; 
fil_2360: maternal and child health bureau; dä…browa biskupia; child health bureau; villages and settlements; lot of interest; 
fil_2361: nizhny novgorod; inhabited localities; keen supporter; york daily news; light bulb; 
fil_2364: charlton athletic; coffee houses; seattle mariners; upper limb; surfer rosa; 
fil_2366: tricountry points; scarfâ€™s algorithm; master reel; hainan airlines; cavalry division in palestine; 
fil_2368: uncle bud; tsugå no ii karada; ii karada; grave digger; digger and coffin; 
fil_237: condã© nast; uhuru torch; score more runs than its opponent; score more runs; runs than its opponent; 
fil_2370: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2371: recombinational repair; encoding different isoforms; 82 games; rose bowl aquatics; massey college; 
fil_2372: upper deck; fall of 2005; 2007 and 2008; dr congo; 3â€“1 win; 
fil_2374: maternal and child health bureau; dä…browa biskupia; child health bureau; villages and settlements; lot of interest; 
fil_238: surrey at the oval; tabo monastery; niã±os dios; 1950 and 1951; santo tomas; 
fil_2383: masters in business administration; province of british columbia; 1989 to 1996; 1966 until his death; romanian academy; 
fil_2387: violence policy center; reduce gun violence; catalans dragons; touring car championship; european super league; 
fil_2388: nation of merchants; lemon drops; boston globe/horn; uniform state narcotic; harrison act; 
fil_2389: paste copy; botany bay; st albans; bosley crowther; sã£o tomã©; 
fil_2391: static display; ãlvaro de bazã¡n; tian dan; herschel space observatory; gerold and urich; 
fil_2392: latin america and the caribbean; active participant; miles davis; 2015 ashes; smith and jones; 
fil_2393: sixth and seventh; king arthur; south porch; album is dedicated; freelance journalist; 
fil_2394: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2395: 1st arkansas infantry; petroleum products; pacific northwest of the united states; competed in the 1912 summer olympics; territory of hawaii; 
fil_2396: opened its doors; school's mascot; black and gold; zhuo yihang; yue mingke; 
fil_2398: killed in an automobile accident; andolsek's death; automobile accident; muslims of america; women's swimming; 
fil_2399: potarch bridge; merchant of the year 2007; madras and died; lie algebras; kincardine o'neil; 
fil_24: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_240: smooth pursuit; silver foxes; overtime play; avoid the wrath; white fir; 
fil_2400: issued in 1957; woman's day; appointed chair; locally and internationally; swapo's secretary; 
fil_2401: gradeâ ii; clinical treatment; piano sonata; science labs; travel expenses; 
fil_2403: leonard cohen; summer and fall; gained notoriety; zealand and australia; qidong street; 
fil_2407: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_241: philadelphia and baltimore; conventional medicine; baja california; alternative medicine; duke and duchess; 
fil_2415: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2416: private university located; 1960s and 1970s; lon chaney; pinhead gunpowder; billie joe armstrong; 
fil_2418: la trã©moille; member of the privy council; ex officio; la tour d'auvergne; elected a fellow; 
fil_242: professional regulation; illinois community college board; higher learning commission; department of professional regulation; approved by the illinois community; 
fil_2420: commune in the calvados; calvados department; continually published humor; wholly occupied; talk to al; 
fil_2421: walking sticks; shapes and sizes; different shapes; chair caning; angkor wat; 
fil_2422: managerial revolution; compactly generated; abbots of monasteries; wealth of nations; emphasis on the importance; 
fil_2423: technical departments; writer's block; provisional irish republican; wilsons promontory; coastal plain; 
fil_2424: species is endemic; jessica mauboy; french polynesia; notable people with the surname; qualifying years for a full basic; 
fil_2427: guaranteed place; holy waters; sworn of the privy; witness stand; founded in 1923; 
fil_2428: proneural genes; chordotonal organs; ac and sc genes; patents related; distinct phases; 
fil_243: age of 51; albert einstein; western hemisphere; atlantic salmon; absolutely necessary; 
